<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120401,220000,0.83340,0.83360,0.83340,0.83360,0
20120401,230000,0.83340,0.83360,0.83340,0.83360,0
20120402,000000,0.83370,0.83430,0.83320,0.83360,0
20120402,010000,0.83380,0.83440,0.83340,0.83410,0
20120402,020000,0.83410,0.83500,0.83320,0.83440,0
20120402,030000,0.83430,0.83440,0.83370,0.83410,0
20120402,040000,0.83410,0.83420,0.83340,0.83400,0
20120402,050000,0.83390,0.83440,0.83350,0.83420,0
20120402,060000,0.83410,0.83450,0.83370,0.83430,0
20120402,070000,0.83430,0.83440,0.83370,0.83420,0
20120402,080000,0.83420,0.83440,0.83370,0.83430,0
20120402,090000,0.83430,0.83460,0.83360,0.83370,0
20120402,100000,0.83380,0.83500,0.83230,0.83300,0
20120402,110000,0.83300,0.83420,0.83230,0.83360,0
20120402,120000,0.83360,0.83410,0.83090,0.83190,0
20120402,130000,0.83190,0.83300,0.83120,0.83280,0
20120402,140000,0.83280,0.83300,0.83120,0.83150,0
20120402,150000,0.83150,0.83230,0.83100,0.83130,0
20120402,160000,0.83120,0.83220,0.83070,0.83140,0
20120402,170000,0.83130,0.83150,0.82950,0.82990,0
20120402,180000,0.83000,0.83060,0.82910,0.83040,0
20120402,190000,0.83050,0.83160,0.83010,0.83160,0
20120402,200000,0.83160,0.83230,0.83120,0.83210,0
20120402,210000,0.83200,0.83210,0.83130,0.83170,0
20120402,220000,0.83170,0.83180,0.83060,0.83100,0
20120402,230000,0.83100,0.83140,0.83070,0.83100,0
20120403,000000,0.83120,0.83130,0.83070,0.83120,0
20120403,010000,0.83110,0.83150,0.83070,0.83110,0
20120403,020000,0.83100,0.83160,0.83070,0.83140,0
20120403,030000,0.83140,0.83160,0.83080,0.83110,0
20120403,040000,0.83120,0.83190,0.83090,0.83160,0
20120403,050000,0.83170,0.83240,0.83140,0.83210,0
20120403,060000,0.83200,0.83230,0.83140,0.83170,0
20120403,070000,0.83160,0.83190,0.83120,0.83160,0
20120403,080000,0.83140,0.83180,0.83100,0.83160,0
20120403,090000,0.83140,0.83210,0.83100,0.83150,0
20120403,100000,0.83170,0.83260,0.83130,0.83170,0
20120403,110000,0.83180,0.83290,0.83150,0.83250,0
20120403,120000,0.83260,0.83290,0.83140,0.83200,0
20120403,130000,0.83200,0.83380,0.83170,0.83340,0
20120403,140000,0.83340,0.83360,0.83260,0.83280,0
20120403,150000,0.83270,0.83310,0.83160,0.83230,0
20120403,160000,0.83230,0.83390,0.83170,0.83320,0
20120403,170000,0.83330,0.83370,0.83250,0.83300,0
20120403,180000,0.83310,0.83560,0.83270,0.83510,0
20120403,190000,0.83500,0.83580,0.83440,0.83530,0
20120403,200000,0.83520,0.83540,0.83440,0.83470,0
20120403,210000,0.83470,0.83540,0.83450,0.83510,0
20120403,220000,0.83500,0.83520,0.83100,0.83150,0
20120403,230000,0.83120,0.83190,0.83090,0.83140,0
20120404,000000,0.83130,0.83180,0.83090,0.83150,0
20120404,010000,0.83150,0.83190,0.83110,0.83170,0
20120404,020000,0.83170,0.83190,0.83090,0.83130,0
20120404,030000,0.83130,0.83170,0.83090,0.83140,0
20120404,040000,0.83140,0.83260,0.83110,0.83220,0
20120404,050000,0.83210,0.83240,0.83030,0.83060,0
20120404,060000,0.83070,0.83100,0.82990,0.83070,0
20120404,070000,0.83060,0.83100,0.83020,0.83090,0
20120404,080000,0.83060,0.83100,0.82990,0.83020,0
20120404,090000,0.83000,0.83070,0.82980,0.83030,0
20120404,100000,0.83040,0.83140,0.83020,0.83090,0
20120404,110000,0.83070,0.83100,0.82940,0.83030,0
20120404,120000,0.83030,0.83040,0.82820,0.82890,0
20120404,130000,0.82900,0.83040,0.82850,0.83000,0
20120404,140000,0.83020,0.83040,0.82860,0.82920,0
20120404,150000,0.82920,0.82920,0.82790,0.82840,0
20120404,160000,0.82830,0.82890,0.82670,0.82800,0
20120404,170000,0.82800,0.82850,0.82710,0.82770,0
20120404,180000,0.82770,0.82800,0.82610,0.82640,0
20120404,190000,0.82620,0.82730,0.82590,0.82670,0
20120404,200000,0.82660,0.82720,0.82600,0.82710,0
20120404,210000,0.82710,0.82730,0.82640,0.82710,0
20120404,220000,0.82710,0.82730,0.82630,0.82680,0
20120404,230000,0.82670,0.82720,0.82640,0.82690,0
20120405,000000,0.82690,0.82730,0.82650,0.82690,0
20120405,010000,0.82690,0.82730,0.82650,0.82680,0
20120405,020000,0.82670,0.82700,0.82620,0.82690,0
20120405,030000,0.82700,0.82710,0.82610,0.82640,0
20120405,040000,0.82650,0.82690,0.82610,0.82680,0
20120405,050000,0.82680,0.82700,0.82630,0.82670,0
20120405,060000,0.82670,0.82720,0.82630,0.82700,0
20120405,070000,0.82710,0.82730,0.82660,0.82680,0
20120405,080000,0.82670,0.82730,0.82650,0.82710,0
20120405,090000,0.82730,0.82740,0.82660,0.82700,0
20120405,100000,0.82690,0.82790,0.82640,0.82740,0
20120405,110000,0.82730,0.82750,0.82580,0.82640,0
20120405,120000,0.82630,0.82750,0.82580,0.82620,0
20120405,130000,0.82630,0.82650,0.82440,0.82560,0
20120405,140000,0.82530,0.82600,0.82470,0.82570,0
20120405,150000,0.82580,0.82640,0.82470,0.82500,0
20120405,160000,0.82500,0.82520,0.82340,0.82410,0
20120405,170000,0.82410,0.82510,0.82370,0.82440,0
20120405,180000,0.82440,0.82600,0.82400,0.82520,0
20120405,190000,0.82530,0.82600,0.82440,0.82580,0
20120405,200000,0.82570,0.82580,0.82470,0.82530,0
20120405,210000,0.82530,0.82550,0.82470,0.82500,0
20120405,220000,0.82510,0.82550,0.82460,0.82520,0
20120405,230000,0.82510,0.82570,0.82480,0.82570,0
20120406,000000,0.82570,0.82580,0.82480,0.82540,0
20120406,010000,0.82500,0.82560,0.82460,0.82540,0
20120406,020000,0.82530,0.82560,0.82490,0.82540,0
20120406,030000,0.82540,0.82550,0.82460,0.82510,0
20120406,040000,0.82520,0.82550,0.82440,0.82470,0
20120406,050000,0.82470,0.82540,0.82430,0.82510,0
20120406,060000,0.82510,0.82540,0.82430,0.82460,0
20120406,070000,0.82470,0.82480,0.82380,0.82410,0
20120406,080000,0.82410,0.82450,0.82340,0.82360,0
20120406,090000,0.82370,0.82450,0.82330,0.82410,0
20120406,100000,0.82420,0.82470,0.82360,0.82390,0
20120406,110000,0.82390,0.82440,0.82360,0.82400,0
20120406,120000,0.82420,0.82460,0.82390,0.82440,0
20120406,130000,0.82440,0.82480,0.82350,0.82390,0
20120406,140000,0.82390,0.82420,0.82340,0.82400,0
20120406,150000,0.82410,0.82470,0.82340,0.82390,0
20120406,160000,0.82390,0.82570,0.82330,0.82480,0
20120406,170000,0.82460,0.82510,0.82330,0.82420,0
20120406,180000,0.82420,0.82450,0.82320,0.82400,0
20120406,190000,0.82400,0.82440,0.82370,0.82430,0
20120406,200000,0.82430,0.82460,0.82380,0.82460,0
20120406,210000,0.82440,0.82510,0.82380,0.82420,0
20120406,220000,0.82410,0.82480,0.82380,0.82410,0
20120406,230000,0.82430,0.82540,0.82370,0.82490,0
20120407,000000,0.82480,0.82530,0.82410,0.82460,0
20120407,010000,0.82500,0.82520,0.82480,0.82510,0
20120409,000000,0.82510,0.82510,0.82390,0.82420,0
20120409,010000,0.82440,0.82520,0.82370,0.82390,0
20120409,020000,0.82380,0.82470,0.82330,0.82400,0
20120409,030000,0.82420,0.82450,0.82290,0.82400,0
20120409,040000,0.82410,0.82420,0.82280,0.82300,0
20120409,050000,0.82300,0.82350,0.82270,0.82310,0
20120409,060000,0.82310,0.82340,0.82280,0.82320,0
20120409,070000,0.82300,0.82330,0.82280,0.82310,0
20120409,080000,0.82320,0.82370,0.82280,0.82330,0
20120409,090000,0.82340,0.82360,0.82280,0.82320,0
20120409,100000,0.82310,0.82340,0.82270,0.82300,0
20120409,110000,0.82290,0.82390,0.82270,0.82370,0
20120409,120000,0.82360,0.82450,0.82340,0.82380,0
20120409,130000,0.82360,0.82400,0.82300,0.82330,0
20120409,140000,0.82340,0.82390,0.82290,0.82390,0
20120409,150000,0.82380,0.82450,0.82350,0.82420,0
20120409,160000,0.82430,0.82460,0.82340,0.82360,0
20120409,170000,0.82370,0.82400,0.82270,0.82370,0
20120409,180000,0.82370,0.82420,0.82290,0.82410,0
20120409,190000,0.82400,0.82430,0.82300,0.82400,0
20120409,200000,0.82400,0.82500,0.82360,0.82500,0
20120409,210000,0.82500,0.82570,0.82460,0.82530,0
20120409,220000,0.82500,0.82540,0.82450,0.82470,0
